"location","date","hour","temp"
"서울",2015-08-13,0,26.1
"서울",2015-08-13,1,25.7
"서울",2015-08-13,2,25.2
"서울",2015-08-13,3,24.8
"서울",2015-08-13,4,24.3
"서울",2015-08-13,5,24
"서울",2015-08-13,6,23.9
"서울",2015-08-13,7,24.1
"서울",2015-08-13,8,25.8
"서울",2015-08-13,9,27.5
"서울",2015-08-13,10,27.5
"서울",2015-08-13,11,29.7
"서울",2015-08-13,12,29.9
"서울",2015-08-13,13,27.7
"서울",2015-08-13,14,28.9
"서울",2015-08-13,15,28.4
"서울",2015-08-13,16,30.7
"서울",2015-08-13,17,30.1
"서울",2015-08-13,18,27.5
"서울",2015-08-13,19,27.1
"서울",2015-08-13,20,26.4
"서울",2015-08-13,21,25.3
"서울",2015-08-13,22,24.9
"서울",2015-08-13,23,25
"대구",2015-08-13,0,21.6
"대구",2015-08-13,1,21.8
"대구",2015-08-13,2,21.6
"대구",2015-08-13,3,21.3
"대구",2015-08-13,4,21.5
"대구",2015-08-13,5,21.4
"대구",2015-08-13,6,21.5
"대구",2015-08-13,7,21.8
"대구",2015-08-13,8,22.3
"대구",2015-08-13,9,23.5
"대구",2015-08-13,10,25.2
"대구",2015-08-13,11,27.1
"대구",2015-08-13,12,28.3
"대구",2015-08-13,13,29
"대구",2015-08-13,14,30.2
"대구",2015-08-13,15,29.9
"대구",2015-08-13,16,30.1
"대구",2015-08-13,17,28
"대구",2015-08-13,18,23.6
"대구",2015-08-13,19,22.2
"대구",2015-08-13,20,22.2
"대구",2015-08-13,21,21.8
"대구",2015-08-13,22,22
"대구",2015-08-13,23,22
